# 889b03e9609af2020da7070c11cd85bc#
6.700000000000000226e-05 1.423346621758660149e+03
6.835340000000000187e-05 1.450976350149452855e+03
6.973360000000000604e-05 1.479138058870272971e+03
7.114060000000000121e-05 1.507864996691747137e+03
7.258110000000000885e-05 1.537157163613875127e+03
7.404840000000000749e-05 1.566981310866030526e+03
7.554250000000001068e-05 1.597403935989466618e+03
7.707009999999999924e-05 1.628425038984183175e+03
7.862450000000000591e-05 1.660011371079554010e+03
8.021239999999999794e-05 1.692262678587459050e+03
8.183380000000000244e-05 1.725112463966644555e+03
8.348869999999999230e-05 1.758593975987737394e+03
8.517040000000000027e-05 1.792707214650737797e+03
8.689230000000000152e-05 1.827518677496899272e+03
8.864770000000001524e-05 1.862995115755594725e+03
9.044330000000000869e-05 1.899136529426824382e+03
9.226570000000000669e-05 1.936009416051841072e+03
9.412830000000001153e-05 1.973580526860019063e+03
9.603110000000000964e-05 2.011883110621984542e+03
9.797410000000000103e-05 2.050917167337737283e+03
9.995060000000000489e-05 2.090715945777904381e+03
1.019740000000000099e-04 2.131279445942485836e+03
1.040309000000000004e-04 2.172640916602108518e+03
1.061347000000000055e-04 2.214800357756771518e+03
1.082787000000000040e-04 2.257757769406475745e+03
1.104629000000000093e-04 2.301546400321847614e+03
1.126940000000000022e-04 2.346199499273513993e+03
1.149720000000000098e-04 2.391717066261474884e+03
1.172969000000000052e-04 2.438099101285729375e+03
1.196620000000000073e-04 2.485378853116905702e+03
1.220807000000000185e-04 2.533589570525629370e+03
1.245463000000000039e-04 2.582731253511900832e+03
1.270654999999999983e-04 2.632803902075720544e+03
1.296315999999999940e-04 2.683874013758340880e+03
1.322512999999999987e-04 2.735908339789135880e+03
1.349246000000000126e-04 2.788940128938731959e+03
1.376448000000000276e-04 2.843002629977756442e+03
1.404253000000000055e-04 2.898095842906207963e+03
1.432661000000000004e-04 2.954286265265341171e+03
1.461605000000000044e-04 3.011540648284529198e+03
1.491084999999999904e-04 3.069892240734398001e+03
1.521235000000000013e-04 3.129374291385575816e+03
1.551988000000000022e-04 3.190020049008687693e+03
1.583343999999999930e-04 3.251796264833107216e+03
1.615303000000000279e-04 3.314802685170715449e+03
1.647932000000000064e-04 3.379072558792137897e+03
1.681231000000000099e-04 3.444572636926749055e+03
1.715200000000000112e-04 3.511070178180161292e+03
1.749839000000000375e-04 3.579230157964908813e+03
1.785215000000000152e-04 3.648387600868456957e+03
1.821260999999999909e-04 3.718874994597073965e+03
1.858044000000000264e-04 3.791024826857026710e+03
1.895563999999999865e-04 3.864504609942046500e+03
1.933888000000000143e-04 3.938981856145868733e+03
1.972949000000000209e-04 4.015454028587292669e+03
2.012813999999999868e-04 4.092923664147517684e+03
2.053482999999999936e-04 4.172055738239077982e+03
2.094956000000000140e-04 4.252850250861973109e+03
2.137233000000000210e-04 4.334974714309937553e+03
2.180448000000000032e-04 4.418761616289237281e+03
2.224466999999999992e-04 4.504210956799871383e+03
2.269423999999999975e-04 4.591322735841841677e+03
2.315252000000000174e-04 4.679764465708879470e+03
2.362018000000000125e-04 4.770201121813520331e+03
2.409722000000000101e-04 4.862300216449496475e+03
2.458431000000000179e-04 4.956061749616806992e+03
2.508078000000000282e-04 5.051818209021720577e+03
2.558730000000000488e-04 5.149237106957969445e+03
2.610454000000000333e-04 5.248650931131820471e+03
2.663183000000000282e-04 5.349727193837006780e+03
2.716983999999999871e-04 5.452798382779796157e+03
2.771857000000000184e-04 5.558196985666454566e+03
2.827869000000000216e-04 5.665258027084448258e+03
2.885019999999999967e-04 5.774313994740044109e+03
2.943243000000000443e-04 5.885364888633241208e+03
3.002739000000000254e-04 5.998743196470310068e+03
3.063374000000000327e-04 6.114116430544980176e+03
3.125282000000000277e-04 6.231817078563519317e+03
3.188396000000000025e-04 6.351512652819660616e+03
3.252850000000000272e-04 6.473535641019671857e+03
3.318509999999999776e-04 6.597886043163553040e+03
3.385577000000000399e-04 6.724563859251303256e+03
3.453984000000000438e-04 6.853901576989190289e+03
3.523730999999999890e-04 6.985234220964679480e+03
3.594952000000000542e-04 7.119226766590303669e+03
3.667513000000000608e-04 7.255879213866066493e+03
3.741615000000000327e-04 7.394859075085697441e+03
3.817191000000000160e-04 7.536498837955465206e+03
3.894308000000000188e-04 7.680798502475369787e+03
3.973033000000000489e-04 7.827758068645411186e+03
4.053232000000000362e-04 7.977377536465588491e+03
4.135173000000000126e-04 8.129656905935901705e+03
4.218655000000000625e-04 8.284928664762619519e+03
4.303878999999999930e-04 8.443192812945741025e+03
4.390845000000000208e-04 8.604449350485265313e+03
4.479553000000000376e-04 8.768365789674924599e+03
4.570070000000000512e-04 8.935607105927256271e+03
4.662396000000000075e-04 9.105508323829724759e+03
4.756531000000000149e-04 9.279066906501131598e+03
4.852608999999999807e-04 9.455285390822673435e+03
4.950697000000000214e-04 9.635161239913153622e+03
5.050661000000000126e-04 9.818029478360036592e+03
5.152702000000000324e-04 1.000422259386959013e+04
5.256819999999999722e-04 1.019407307414808201e+04
5.363015000000000490e-04 1.038724843148924447e+04
5.471354000000000538e-04 1.058374866589307567e+04
5.581836999999999866e-04 1.078390626506584704e+04
5.694597999999999717e-04 1.098772122900755494e+04
5.809637000000000091e-04 1.119519355771820119e+04
5.927020999999999982e-04 1.140665573890405176e+04
6.046750000000000475e-04 1.162144279715257471e+04
6.168891000000000565e-04 1.184021970787629834e+04
6.293511000000000331e-04 1.206298647107522993e+04
6.420676999999999851e-04 1.228974308674936583e+04
6.550389000000000211e-04 1.252048955489870423e+04
